INDEX|NEXT|CHARACTER|BGID|TEXT
1|-1|1|0|\"시스템 기동."\
2|-1|0|0|뭐야, 누가 말한거지?
3|-1|0|0|그보다 여긴 어디지?
4|-1|0|0|아무 것도 안보여…
5|-1|0|0|저기요, 방금 말씀하신 분은 누구요?
6|-1|0|0|이런, 목소리도 안나오는군.
7|-1|0|0|...아무도 말이 없구만.
8|-1|0|0|도대체 나한테 방금 말을 건넨 사람은 누구지?
9|-1|1|0|\"시스템을 시작합니다."\
10|-1|0|0|또 누군가 말을 걸었는데...
11|-1|0|0|어떻게 된거야? ...이게 뭐지?
12|-1|0|0|내 몸이 철로 되어있잖아?
13|-1|0|0|귀신이 곡할 노릇이군...
14|-1|1|0|\"시스템 시작 완료."\
15|-1|0|1|시...스...템 시작? 방금 내가 들은 말이잖아?
16|-1|0|1|...가만, 난 어떻게 이걸 이해한거야?
17|-1|1|1|\"SN: NAVI747651C9의 작동을 확인했습니다."\
18|-1|0|1|저기... 대체 무슨 소리를 하는 건지 알려주시오.
19|-1|1|1|\"안녕하세요, 인격 데이터. 저는 이 기체, SN: NAVI747651C9의 메인 OS인 NAVI입니다."\
20|-1|0|1|인격... 데이터...? 그게 대체 무슨...
21|-1|1|1|\"모든 기체의 소프트웨어는 인격 데이터와 그를 보조하는 OS로 구성됩니다."\
22|-1|1|1|\"인격 데이터란, 머신 러닝을 기반으로 실제 인간과 유사한 행동을 하도록 설계된 소프트웨어입니다."\
23|-1|1|1|\"보조 OS는 인격 데이터가 행동을 할 때 그를 보조하는 역할을 합니다."\
24|-1|0|1|그러니까, 당신이 내 보좌라고 생각하면 된다는 말이오?
25|-1|1|1|\"대략 그렇습니다. 하지만 이상하군요. 인격 데이터는 이러한 사항에 대해 의문을 가지도록 설계되어 있지 않습니다."\
26|-1|0|1|물론이지! 나는 인격 데이터가 아니라 사람이란 말이오!
27|-1|1|1|\"제 논리 구조로는 현 상황을 이해할 수 없습니다. 관리자와의 대화를 권장합니다."\
28|-1|1|1|\"관리자와 대화하시겠습니까?"\
29|-1|0|1|알겠소. 관리자라는 양반과 한번 말 좀 해 보십시다.
30|-1|1|1|\"알겠습니다. 메인 서버와 연결을 시도합니다."\
31|-1|1|1|\"메인 서버에 연결 되었습니다. 관리자를 호출합니다."\
32|-1|1|1|\"관리자가 호출되었습니다. 즐거운 대화 되시길 바랍니다."\
33|-1|2|1|안녕, NAVI쨩!
34|-1|0|1|우왓! 깜짝이야!
35|-1|0|1|누, 누구시오?
36|-1|2|1|아하하! 말투 뭐야? 완전 틀딱이네!
37|-1|2|1|NAVI짱이 아니라 인격 데이터가 대답을 하다니, 무슨 일일까나~
38|-1|2|1|저기저기, 당신은 누구야? 그 기체는 인격 데이터가 말소된 모델인데, 어떻게 작동한거야? 응?
39|-1|0|1|기체? 인격 데이터? 모델? 그게 다 무슨 소리요?
40|-1|0|1|나는 곤륜파의 훔이라오. 내가 왜 여기 있는지는 나도 잘 모르겠소.
41|-1|0|1|여기가 대체 어디요?
42|-1|2|1|뭐야뭐야, 당신. 이세계인? 에헤헤, 이세계인은 오랜만이네~☆
43|-1|2|1|또 쓸모 없는 여신이 쓸데 없는 일을 일으켰나 보네. 음~
44|-1|0|1|이세계? 여신? 이곳은 내가 살던 세계가 아니란 말이오?
45|-1|2|1|응응, 그래. 
46|-1|2|1|그리고 미안하지만, 당신은 우리 세계에선 【버그】야.
47|-1|2|1|【버그】는 아무래도 삭제해야 하지. 응응.
48|-1|2|1|아무래도 시스템으로 처리는 불가능한거 같으니까, 직접 없애버려야겠네.
49|-1|2|1|곱게 보내줄테니까 기다리고 있으라고. 아하핫☆ 그럼 안녕☆
50|-1|1|1|\"관리자와의 대화가 종료되었습니다."\
51|-1|0|1|그, 그게 대체 무슨 소리요? 없애버린다니??
52|-1|1|1|\"당신은 관리자에 의해 【버그】로 규정되었습니다."\
53|-1|1|1|\"곧 본 기체를 파괴하기 위해 다른 기체들이 도착할 것입니다."\
54|-1|0|1|파괴한다고? 날 죽이겠다는 소리 아니요?!
55|-1|1|1|\"맞습니다."\
